Aseguradora;Edad;Precio;Indemnizacion;
map_02;67;286,63 €;60.000 €;
map_02;68;286,63 €;60.000 €;
map_02;69;286,63 €;60.000 €;
map_02;1;23,06 €;90.000 €;
map_02;2;23,06 €;90.000 €;
map_02;3;23,06 €;90.000 €;
map_02;4;23,06 €;90.000 €;
map_02;5;23,06 €;90.000 €;
map_02;6;23,06 €;90.000 €;
map_02;7;23,06 €;90.000 €;
map_02;8;23,06 €;90.000 €;
map_02;9;23,06 €;90.000 €;
map_02;10;23,06 €;90.000 €;
map_02;11;23,06 €;90.000 €;
map_02;12;23,06 €;90.000 €;
map_02;13;23,06 €;90.000 €;
map_02;14;23,06 €;90.000 €;
map_02;15;23,06 €;90.000 €;
map_02;16;23,06 €;90.000 €;
map_02;17;23,06 €;90.000 €;
map_02;18;23,06 €;90.000 €;
map_02;19;23,06 €;90.000 €;
map_02;20;23,06 €;90.000 €;
map_02;21;23,06 €;90.000 €;
map_02;22;23,06 €;90.000 €;
map_02;23;23,06 €;90.000 €;
map_02;24;23,06 €;90.000 €;
map_02;25;23,06 €;90.000 €;
map_02;26;23,06 €;90.000 €;
map_02;27;23,06 €;90.000 €;
map_02;28;23,06 €;90.000 €;
map_02;29;23,06 €;90.000 €;
map_02;30;24,22 €;90.000 €;
map_02;31;24,22 €;90.000 €;
map_02;32;24,22 €;90.000 €;
map_02;33;24,22 €;90.000 €;
map_02;34;24,22 €;90.000 €;
map_02;35;28,12 €;90.000 €;
map_02;36;28,12 €;90.000 €;
map_02;37;28,12 €;90.000 €;
map_02;38;28,12 €;90.000 €;
map_02;39;28,12 €;90.000 €;
map_02;40;35,62 €;90.000 €;
map_02;41;35,62 €;90.000 €;
map_02;42;35,62 €;90.000 €;
map_02;43;35,62 €;90.000 €;
map_02;44;35,62 €;90.000 €;
map_02;45;54,24 €;90.000 €;
map_02;46;54,24 €;90.000 €;
map_02;47;54,24 €;90.000 €;
map_02;48;54,24 €;90.000 €;
map_02;49;54,24 €;90.000 €;
map_02;50;79,91 €;90.000 €;
map_02;51;79,91 €;90.000 €;
map_02;52;79,91 €;90.000 €;
map_02;53;79,91 €;90.000 €;
map_02;54;79,91 €;90.000 €;
map_02;55;146,12 €;90.000 €;
map_02;56;146,12 €;90.000 €;
map_02;57;146,12 €;90.000 €;
map_02;58;146,12 €;90.000 €;
map_02;59;146,12 €;90.000 €;
map_02;60;208,62 €;90.000 €;
map_02;61;208,62 €;90.000 €;
map_02;62;208,62 €;90.000 €;
map_02;63;208,62 €;90.000 €;
map_02;64;208,62 €;90.000 €;
map_02;65;286,63 €;90.000 €;
map_02;66;286,63 €;90.000 €;
map_02;67;286,63 €;90.000 €;
map_02;68;286,63 €;90.000 €;
map_02;69;286,63 €;90.000 €;
map_02;1;25,60 €;100.000 €;
map_02;2;25,60 €;100.000 €;
map_02;3;25,60 €;100.000 €;
map_02;4;25,60 €;100.000 €;
map_02;5;25,60 €;100.000 €;
map_02;6;25,60 €;100.000 €;
map_02;7;25,60 €;100.000 €;
map_02;8;25,60 €;100.000 €;
map_02;9;25,60 €;100.000 €;
map_02;10;25,60 €;100.000 €;
map_02;11;25,60 €;100.000 €;
map_02;12;25,60 €;100.000 €;
map_02;13;25,60 €;100.000 €;
map_02;14;25,60 €;100.000 €;
map_02;15;25,60 €;100.000 €;
map_02;16;25,60 €;100.000 €;
map_02;17;25,60 €;100.000 €;
map_02;18;25,60 €;100.000 €;
map_02;19;25,60 €;100.000 €;
map_02;20;25,60 €;100.000 €;
map_02;21;25,60 €;100.000 €;
map_02;22;25,60 €;100.000 €;
map_02;23;25,60 €;100.000 €;
map_02;24;25,60 €;100.000 €;
map_02;25;25,60 €;100.000 €;
map_02;26;25,60 €;100.000 €;
map_02;27;25,60 €;100.000 €;
map_02;28;25,60 €;100.000 €;
map_02;29;25,60 €;100.000 €;
map_02;30;26,89 €;100.000 €;
map_02;31;26,89 €;100.000 €;
map_02;32;26,89 €;100.000 €;
map_02;33;26,89 €;100.000 €;
map_02;34;26,89 €;100.000 €;
map_02;35;31,21 €;100.000 €;
map_02;36;31,21 €;100.000 €;
map_02;37;31,21 €;100.000 €;
map_02;38;31,21 €;100.000 €;
map_02;39;31,21 €;100.000 €;
map_02;40;39,55 €;100.000 €;
map_02;41;39,55 €;100.000 €;
map_02;42;39,55 €;100.000 €;
map_02;43;39,55 €;100.000 €;
map_02;44;39,55 €;100.000 €;
map_02;45;60,24 €;100.000 €;
map_02;46;60,24 €;100.000 €;
map_02;47;60,24 €;100.000 €;
map_02;48;60,24 €;100.000 €;
map_02;49;60,24 €;100.000 €;
map_02;50;88,76 €;100.000 €;
map_02;51;88,76 €;100.000 €;
map_02;52;88,76 €;100.000 €;
map_02;53;88,76 €;100.000 €;
map_02;54;88,76 €;100.000 €;
map_02;55;162,34 €;100.000 €;
map_02;56;162,34 €;100.000 €;
map_02;57;162,34 €;100.000 €;
map_02;58;162,34 €;100.000 €;
map_02;59;162,34 €;100.000 €;
map_02;60;231,78 €;100.000 €;
map_02;61;231,78 €;100.000 €;
map_02;62;231,78 €;100.000 €;
map_02;63;231,78 €;100.000 €;
map_02;64;231,78 €;100.000 €;
map_02;65;318,45 €;100.000 €;
map_02;66;318,45 €;100.000 €;
map_02;67;318,45 €;100.000 €;
map_02;68;318,45 €;100.000 €;
map_02;69;318,45 €;100.000 €;
